A,CA,CV,DE,DP,DS,FC,FD,FF,FS,FT,G,GC,GS,I,PC,PP,PS,SG,V,apelido,apelido_abreviado,atleta_id,clube_id,clube_nome,entrou_em_campo,foto,jogos_num,media_num,minimo_para_valorizar,nome,pontos_num,posicao_id,preco_num,rodada_id,slug,status_id,temporada,variacao_num
,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,Edenílson,Edenílson,63289,284,GRE,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/GRE/FORMATO.png,1,2.5,,Edenílson Andrade dos Santos,2.5,4,6.6,1,edenilson,6,2026,-0.4
,,,,,,,,,,,,,,,,,,,,Rodrigo Moledo,R. Moledo,63354,294,CFC,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CFC/FORMATO.png,0,0.0,,Rodrigo Modesto da Silva Moledo,0.0,3,3.0,1,rodrigo-moledo,6,2026,0.0
,,,,,,,1.0,1.0,2.0,,,,,,,,,,,Alan Patrick,A. Patrick,68685,285,INT,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/INT/FORMATO.png,1,3.0,,Alan Patrick Lourenço,3.0,4,7.6,1,alan-patrick,7,2026,-0.4
,,,,,,5.0,,,1.0,,1.0,,,,,,,,,Eduardo,Eduardo,68708,2305,MIR,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/MIR/FORMATO.png,1,7.0,,Carlos Eduardo de Oliveira Alves,7.0,4,7.36,1,eduardo,7,2026,1.36
,,,4.0,,,,,,,,,,,,,,,1.0,,Neto,Neto,68806,263,BOT,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BOT/FORMATO.png,1,10.2,,Norberto Murara Neto,10.2,1,10.12,1,neto,7,2026,2.12
,,,,,,,,,,,,,,,,,,,,Rafael Santos,R. Santos,68822,315,CHA,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CHA/FORMATO.png,0,0.0,,Rafael de Carvalho Santos,0.0,1,3.0,1,rafael-santos,6,2026,0.0
,,,,,,,,,,,,,,,,,,,,Marcelo Lomba,M. Lomba,68872,275,PAL,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/PAL/FORMATO.png,0,0.0,,Marcelo Lomba do Nascimento,0.0,1,4.0,1,marcelo-lomba,6,2026,0.0
,,,,,1.0,,,1.0,1.0,,1.0,,,,,,,,,Philippe Coutinho,P. Coutinho,68899,267,VAS,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VAS/FORMATO.png,1,10.8,,Philippe Coutinho Correia,10.8,4,13.61,1,philippe-coutinho,7,2026,1.61
,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,Dudu,Dudu,68920,282,CAM,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,1,2.5,,Eduardo Pereira Rodrigues,2.5,5,8.24,1,dudu,7,2026,-0.76
,,,4.0,,,,,,,,,,1.0,,,,,,,Rafael,Rafael,68928,276,SAO,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAO/FORMATO.png,1,4.2,,Rafael Pires Monteiro,4.2,1,8.84,1,rafael,7,2026,-0.16
