schedule_team_id,cartola_club_id
1783,262
1770,263
1779,264
1777,265
1765,266
1780,267
1769,275
1776,276
6685,277
4286,280
1766,282
1771,283
1767,284
6684,285
1782,287
1768,293
4241,294
1772,315
4287,364
4364,2305
